Treatment,Dpi,Rep,Cq
P. fluorescens,IL-1,1,19.33
P. fluorescens,IL-1,2,19.6
P. fluorescens,IL-1,3,20.02
S. marcescens,IL-1,1,21.25
S. marcescens,IL-1,2,20.43
S. marcescens,IL-1,3,20.98
B. subtilis,IL-1,1,19.03
B. subtilis,IL-1,2,19.65
B. subtilis,IL-1,3,19.21
Control,IL-1,1,20.31
Control,IL-1,2,20.49
Control,IL-1,3,20.83
P. fluorescens,IL-4,1,24.92
P. fluorescens,IL-4,2,24.88
P. fluorescens,IL-4,3,24.93
S. marcescens,IL-4,1,21.57
S. marcescens,IL-4,2,21.59
S. marcescens,IL-4,3,21.51
B. subtilis,IL-4,1,22.7
B. subtilis,IL-4,2,22.19
B. subtilis,IL-4,3,22.23
Control,IL-4,1,20.25
Control,IL-4,2,20.43
Control,IL-4,3,20.41
P. fluorescens,IL-7,1,21.15
P. fluorescens,IL-7,2,21.15
P. fluorescens,IL-7,3,21.39
S. marcescens,IL-7,1,22.02
S. marcescens,IL-7,2,22.23
S. marcescens,IL-7,3,22.11
B. subtilis,IL-7,1,19.5
B. subtilis,IL-7,2,19.71
B. subtilis,IL-7,3,19.99
Control,IL-7,1,19.62
Control,IL-7,2,20.7
Control,IL-7,3,19.92
P. fluorescens,IL-10,1,23.57
P. fluorescens,IL-10,2,23.52
P. fluorescens,IL-10,3,23.37
S. marcescens,IL-10,1,23.13
S. marcescens,IL-10,2,23.17
S. marcescens,IL-10,3,23.18
B. subtilis,IL-10,1,22.6
B. subtilis,IL-10,2,21.76
B. subtilis,IL-10,3,22.07
Control,IL-10,1,21.86
Control,IL-10,2,22.09
Control,IL-10,3,22.14
P. fluorescens,SL-7,1,30.5
P. fluorescens,SL-7,2,30.67
P. fluorescens,SL-7,3,30.57
S. marcescens,SL-7,1,30
S. marcescens,SL-7,2,30.41
S. marcescens,SL-7,3,30.1
B. subtilis,SL-7,1,29.11
B. subtilis,SL-7,2,28.73
B. subtilis,SL-7,3,28.7
Control,SL-7,1,29.48
Control,SL-7,2,29.47
Control,SL-7,3,29.49
P. fluorescens,SL-10,1,31.5
P. fluorescens,SL-10,2,31.68
P. fluorescens,SL-10,3,31.38
S. marcescens,SL-10,1,30.6
S. marcescens,SL-10,2,31.25
S. marcescens,SL-10,3,30.5
B. subtilis,SL-10,1,30.51
B. subtilis,SL-10,2,32.31
B. subtilis,SL-10,3,32.29
Control,SL-10,1,29.23
Control,SL-10,2,29.3
Control,SL-10,3,29.1
P. fluorescens,SL-14,1,30.57
P. fluorescens,SL-14,2,30.66
P. fluorescens,SL-14,3,30.66
S. marcescens,SL-14,1,30.41
S. marcescens,SL-14,2,30.42
S. marcescens,SL-14,3,30.49
B. subtilis,SL-14,1,31.03
B. subtilis,SL-14,2,33.02
B. subtilis,SL-14,3,33.55
Control,SL-14,1,33.56
Control,SL-14,2,33.92
Control,SL-14,3,33.74
